Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2018-05-03,2018,5,3,Thursday,17,2018-17,686.59,784.34,686.59,779.54,4210939904,779.54,13.446,664.4092857142857,528.938
2018-05-04,2018,5,4,Friday,17,2018-17,776.78,803.75,762.63,785.62,3533410048,785.62,0.78,676.5450000000001,532.4244
2018-05-05,2018,5,5,Saturday,17,2018-17,784.58,827.46,784.24,816.12,3035040000,816.12,3.882,691.5964285714284,536.7134000000001
2018-05-06,2018,5,6,Sunday,18,2018-18,816.09,835.06,764.88,792.31,3105570048,792.31,-2.917,703.7714285714285,541.5039999999999
2018-05-07,2018,5,7,Monday,18,2018-18,793.34,795.76,710.18,753.72,4316120064,753.72,-4.87,711.7121428571428,545.8056
2018-05-08,2018,5,8,Tuesday,18,2018-18,755.01,774.25,728.13,752.86,2920489984,752.86,-0.115,714.905,549.7282
2018-05-09,2018,5,9,Wednesday,18,2018-18,752.9,759.53,718.47,752.28,2877870080,752.28,-0.077,724.6807142857142,553.6303999999999
2018-05-10,2018,5,10,Thursday,18,2018-18,752.58,766.75,726.66,727.28,2748950016,727.28,-3.323,729.2857142857143,556.9414
2018-05-11,2018,5,11,Friday,18,2018-18,727.01,736.98,669.83,679.59,3290080000,679.59,-6.557,731.6114285714285,559.7392000000001
2018-05-12,2018,5,12,Saturday,18,2018-18,679.88,691.41,644.07,686.05,2668480000,686.05,0.951,731.7807142857143,562.6677999999999
2018-05-13,2018,5,13,Sunday,19,2018-19,687.17,741.31,675.32,733.5,2362500096,733.5,6.916,734.967857142857,566.809
2018-05-14,2018,5,14,Monday,19,2018-19,732.73,742.17,695.79,730.55,3005110016,730.55,-0.402,739.2985714285714,570.9342
2018-05-15,2018,5,15,Tuesday,19,2018-19,731.14,739.05,700.99,708.87,2523069952,708.87,-2.967,741.8171428571429,575.3126
2018-05-16,2018,5,16,Wednesday,19,2018-19,708.09,710.2,682.54,707.05,2476130048,707.05,-0.257,743.2385714285713,580.4512
2018-05-17,2018,5,17,Thursday,19,2018-19,708.72,718.83,668.83,672.66,2350619904,672.66,-4.864,735.6042857142857,584.9788000000001
2018-05-18,2018,5,18,Friday,19,2018-19,672.1,695.03,663.81,694.37,2305740032,694.37,3.228,729.0864285714285,591.1468
2018-05-19,2018,5,19,Saturday,19,2018-19,695.07,715.58,686.79,696.53,2021549952,696.53,0.312,720.5442857142858,597.1846
2018-05-20,2018,5,20,Sunday,20,2018-20,697.92,723.75,692.67,715.37,2156910080,715.37,2.705,715.0485714285714,603.5628
2018-05-21,2018,5,21,Monday,20,2018-20,717.19,719.28,692.49,699.22,2005170048,699.22,-2.257,711.1557142857143,609.955
