Year,Week_Number,mean_return,volatility
2020,10,-7.104857142857143,18.678173781436016
2020,11,1.4092857142857145,9.13814395294591
2020,12,-0.07971428571428582,5.30100876293955
2020,13,1.53,3.273307094260075
2020,14,1.4874285714285715,7.999597716075955
2020,15,2.5500000000000003,5.86039702864348
2020,16,0.703,3.685834143492262
2020,17,1.4594285714285713,4.139414244275908
2020,18,-0.2317142857142857,2.020504368904434
2020,19,-0.6267142857142856,5.343024789832245
2020,20,0.6048571428571429,3.1804914415108567
2020,21,2.2381428571428574,4.379853514619389
2020,22,0.04328571428571433,4.003408286043519
2020,23,-0.14242857142857138,2.8963321550507555
2020,24,-0.575857142857143,1.5640507694841015
2020,25,-0.3574285714285714,3.1154649121836724
2020,26,0.3965714285714285,1.477456582232098
2020,27,0.6692857142857143,2.847131639286911
2020,28,-0.23299999999999996,1.1613078833797694
